,dominant_topic,text
4053,trump,@wendyvoss so true! We can't have any #uneducatedVoters #TrumpPence16
4054,trump,"@StukF @seanhannity @HillaryClinton @realDonaldTrump @SebGorka So, put the crackpipe down."
4055,trump,@JoyAnnReid @maddow Is it true that @realDonaldTrump is over 1 billion dollars in debt to the #Chinese &amp; #Russians? #GameChanger
4056,trump,"Margin of error, just ride through Pa and see how many #TrumpPence16 support signs u see https://t.co/pc0qJrsMY9"
4057,trump,@CorrectRecord @washingtonpost @HillaryClinton https://t.co/5oDHWZCVnZ
4058,hillary,"#Boycott, sick of these people!  #NFL loses! https://t.co/7qOT7nhgMd"
4059,hillary,@CNNEE @imolinarescnn  @HillaryClinton  lo destruirá en el debate . Ella será la próxima presidente de usa
4060,trump,@HillaryClinton go to jail
4061,hillary,@USAneedsTRUMP bullshit! He fights for only himself @HillaryClinton @DailyCaller
4062,hillary,"She smiles when appropriate.. It's called #real #authentic @HillaryClinton #serious about what lies ahead, Aware 🌍 https://t.co/SC3uq28nOS"
4063,hillary,Amen https://t.co/mSOlojatV1
4064,hillary,"@HillaryClinton has lost her mind, she sponsored ISIS, funds them, arms them and gives them passage to America &amp; she thinks they want DJT"
4065,hillary,@seanhannity @SebGorka @BarackObama @HillaryClinton and this heathen inbred https://t.co/aEqXtg6ARR
4066,trump,"To the liars of the #MSM, #WhatDifferenceDoesItMake because I'm 100% sure I'm voting #TrumpPence16 https://t.co/aj3waWqe2M"
4067,hillary,"@mikandynothem @steph93065 @realDonaldTrump Been ready 4 8Years,can't wait. I just pray that Hitlery &amp; her lil friends don't steal election."
4068,trump,@FoxNews @HillaryClinton hahahahahahaha all you do is bash @ trump never. Talk policy's.
4069,hillary,"@realDonaldTrump @FoxNews DR DREW WATCH U'R ASS, CLINTON'S HAVE HONEST  PEOPLE MURDERED! 2 MUCH OF A COINCIDENCE!  BITCH WILL DO ANYTHING!"
4070,trump,Or that @HillaryClinton'll #ReleaseTheTranscripts 👍✌🏿️🇺🇸💜 https://t.co/hAQlVIiRZ2
4071,hillary,@seanhannity @HillaryClinton @realDonaldTrump @SebGorka how does she know what they are praying? Pretty intimate knowledge.
4072,trump,@tkdmike @realDonaldTrump they want to make it all white again
4073,hillary,Please read this. Word by word. Then guess the grade of the student who might have said this. https://t.co/6u4GykNiXE
4074,trump,@realDonaldTrump YOUR ASS IS THE ONE WHO NEEDS TO BE BEHIND BARS
4075,trump,@dandrezner @russfischer @gregpmiller Is @realDonaldTrump not understanding intelligence really news?
4076,trump,@NeilTurner_ @realDonaldTrump https://t.co/U6UcA9Eoz5
4077,hillary,"Some how @realDonaldTrump keeps showing up on my Twitter feed soliciting donations, my response.....Dirty Donald show us your taxes"
4078,trump,"Lard ass says he weighs 198lbs. Yeah, right if he leaves 1 arm &amp; 1 leg off the scale. Does he tell the truth ever? https://t.co/2yJAOYj1zs"
4079,trump,@COSUSA1030 FUVK YOU PIGGIE$! Trump troll! Trump looking for his BALLS! @HillaryClinton 👏🏼👏🏼👏🏼 https://t.co/juiioofyga
4080,hillary,@seanhannity @SebGorka @BarackObama @HillaryClinton Why Obama could get away with giving Iran so much cash? They can buy nukes &amp;use on us
4081,hillary,@baptizerone @HillaryClinton barack Oclowncompost used it to esp during the town hall questioning.
4082,trump,Voting for  #CrookedHillary to preside over America is like hiring a child molester to babysit our children. https://t.co/vMXAID6P6Z
4083,trump,Thank you!! https://t.co/HD2gHE72N2
4084,trump,@kupajo322 @realDonaldTrump @mike_pence @MLauer @KellyannePolls @IvankaTrump https://t.co/G9WlfnjBrW
4085,trump,Why on Earth do people keep referring to #MattLauer as a journalist? He's not. He's a TV host. #USPresident #HillaryClinton #DonaldTrump
4086,hillary,@ForeverReagan @USHeraldNews #Hillary is a dufus
4087,trump,@realDonaldTrump https://t.co/j0z8cM0MXg
4088,trump,@amandacarpenter @nancy_theis Correct me if I'm wrong but I'm pretty sure all #Trump had to do to beat #Hillary was STFU. He wants her 2 win
4089,hillary,@Lawrence @realDonaldTrump @TheLastWord Hillary For Prison !
4090,hillary,@blevdog_ @mcuban @HillaryClinton both want globalism. Cheap labor. H1B Visa program..#Progs
4091,hillary,"Hitlery Clinton = the Biggest Criminal to run for President since ""Barry-the-Communist Fairy"" Soetoro/Obama #usurper https://t.co/6kbV5HdBBL"
4092,trump,@jonathanchait @PeterBeinart @SabrinaSiddiqui #trump has already tossed aside the wall &amp; the mass deportations. Principled he ain't
4093,trump,#Trump supporters need to support #Trump supporters! #MAGA 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/3FcMof0BU2
4094,hillary,"@seanhannity @EboniKWilliams @JudgeJeanine , Hilldabeast @HillaryClinton was one of the people who was responsible for classifying documents"
4095,hillary,"@realDonaldTrump it was the 2nd time she stated "" We didn't lose a single American in Libya"" #Benghazi is a city in Libya @HillaryClinton"
4096,hillary,"@USAneedsTRUMP no you'll vote for a bigot, racist, misogynist etc. Yeah, that's quality for you. @HillaryClinton @YouTube"
4097,trump,He might find a job at #FoxNews  https://t.co/D45IpwlaiR
4098,trump,@realDonaldTrump https://t.co/eSMfvZmHH8
4099,trump,@seanhannity @HillaryClinton YES!!! #Hannity
4100,hillary,"Wait, what? #NigelFarage in talks w/ Russian government owned RT news network 2b roving reporter covering #Trump's presidential campaign."
4101,hillary,"Hillary,UR literally a disgusting,sick,greedy,power hungry👿 @seanhannity @HillaryClinton @realDonaldTrump @SebGorka https://t.co/WpE8gwyPQ4"
4102,hillary,@HillaryClinton France Arrests 3 'Radicalized' Women Linked to Possible Attack https://t.co/SlJuxOfjNL
4103,trump,😥😥😥 https://t.co/d3R43T25f9
4104,hillary,Someone pls remind pathological liar #Trump that he SUPPORTED the Iraq War. Send him 2 Howard Stern. https://t.co/SBIAgJchQ8
4105,trump,@ChannyJSpeaks @biglittlechris @HillaryClinton pandering is not transparent
4106,trump,#MattLauer is to journalism as #DonaldTrump is to #humility.
4107,trump,@Lawrence @realDonaldTrump @TheLastWord Hillary is guilty of being a liar a criminal a thief and Americas Crime Lady Boss
4108,trump,"@USAneedsTRUMP ahahahaha, now that's funny @HillaryClinton @YouTube"
4109,hillary,@seanhannity @HillaryClinton #Hannity Hell yeah!!
4110,trump,Those voting 4 @realDonaldTrump make no mistake.This is truly all about him &amp; u r just a means 2 an end #NeverTrump https://t.co/iB4CYRYZpv
4111,trump,@realDonaldTrump  https://t.co/lMw4UOO0Km
4112,hillary,@Run_IsHere @realDonaldTrump Lying sack of shot
4113,trump,"Basically, @HillaryClinton  https://t.co/Z8Ku1nq1rJ"
4114,trump,@realDonaldTrump https://t.co/7jKnSlReJF
4115,hillary,@HeimishCon grow up. @HillaryClinton
4116,hillary,A president for the people strong and proud vote trump for a safer American where our children's can grow up safe🇺🇸 https://t.co/i18PRwfovU
4117,trump,"@seanhannity @HillaryClinton Please RT.  Hey Obama, 9/11 is this Saturday so please remind everyone to stay alert to terrorism."
4118,hillary,@Mattso_man @ZeroAnthro this is neither fake nor a conspiracy. People died with Hillary #TrumpPence16 #NeverHillary https://t.co/9yXo5U1p1A
4119,hillary,"@realDonaldTrump @FoxNews @CNN WELL, I CAN TELL SHE'S GOT MEDICAL &amp; DRUG PROBLEMS!  PARKINSONS, VALIUM ADDICT &amp; HIDING MORE! PLAIN AS DAY!"
4120,trump,@FoxNews @HillaryClinton ya think? Every candidate needs tough question and scrutiny
4121,trump,@realDonaldTrump Oh you aren't going to like this after your Russian network interview tonight. https://t.co/4E4AC7AAep
4122,hillary,@HillaryClinton What the hell is this a concession speech?  You blew it last night and you tried to CHEAT using an earbud #hackingshrew
4123,trump,"The #Trumpsters are in disbelief over my article on the #Trump PA field office. 
https://t.co/yTvJCJF7AM https://t.co/8Ny0lHDNOr"
4124,hillary,"https://t.co/OnfmkuGBAr

THERE'S NO TELLING JUST HOW MANY LIES...

OR...

HOW MANY VERSIONS OF LIES...

@HillaryClinton WILL DRUM UP EMAILS!"
4125,trump,@realDonaldTrump https://t.co/CDb6Dqm2j8
4126,trump,"BOTH, @LYIN'QUEEN @HillaryClinton 😱😱😱 https://t.co/z8EGRdDx3v"
4127,trump,You are a moron.  https://t.co/j7wMnAekTX
4128,hillary,Gary Johnson showed how easy it is to flunk an open book test..#GaryJohnson #Hillary #TrumpPence16 #FoxNews #CNN #donlemon
4129,hillary,@FoxNews @HillaryClinton   She's dumb
4130,trump,@realDonaldTrump yesssss
4131,trump,@MikePenceVP @realDonaldTrump As HRC runs on @POTUS legacy he says US voters R Racist/Lazy https://t.co/M2uxzt0NOn   via @co_firing_lineacy
4132,hillary,"@realDonaldTrump releases education proposal, promoting school choice https://t.co/X56NWZ6DbD”"
4133,hillary,@realDonaldTrump Ok...so now you're back to quoting polls. How can anyone love themself so much?  Sicko.
4134,trump,@BeautyBind @SeairraMerodis @karennola719 @realDonaldTrump  @TheBaxterBean Bobble this around in yer head jillian https://t.co/inDI5hXm3Y
4135,hillary,U know what communism does? Strips dignity by eliminating ur individuality. Ur civil &amp; human rights. Communism kills FREEDOM.  #NeverHillary
4136,hillary,@WellsFargo is the @HillaryClinton of the banking world
4137,trump,"@HillaryClinton we believe in you, you have the knowledge and the courage to help our children to get better life, we are proud of you"
4138,hillary,@soyfdelrincon #CNNE   #trump en México una locura. Igual no entiendo como los norte Americanos están votando de igual manera. #Politicaloca
4139,trump,@Morning_Joe @ChristianKeyes @MSNBC The audacity 2 ? @POTUS' Legacy! #Trumps' #unbelievablyLimitedInKnowledge #PleaseVote4 @HillaryClinton
4140,trump,"Step 1. - Burn 1 down w the boys 
Step 2. - Chill 
#MAGA #Stoners4Trump https://t.co/NdEW2tJMkK"
4141,hillary,@FredZeppelin12 @realDonaldTrump ...and the MSM is all in for the throne sniffin'...
4142,hillary,#pressrelease  #Philadelphians #respond to #Trump - Surreal ValeCity https://t.co/sd1JK4D9Wn
4143,trump,@seanhannity @realDonaldTrump  WE WANT A REAL PRESS CONFERENCE WITH  @HillaryClinton! Dang woman tell the freakin truth for a change!
4144,trump,"@ChuckTodd #ChuckTodd is now on the #Trump Bandwagon trying to get a Republican audience 4 ""Meet the Press' #MSNBC👎🏾 https://t.co/qsirG84Ec6"
4145,trump,@realDonaldTrump  do  you  believe this ?
4146,hillary,If you say #ImWithHer you will find this parody HILARIOUS!!!! @JohnLeguizamo @andylassner @davidcrosss @Rosie  https://t.co/zVjrpqiYnf
4147,trump,@timesofindia @suketumehta #NarendraMody #DonaldTrump   ivory tower odious comparison by one who has Not walked the streets of India since.?
4148,hillary,Trump2016 just demonstrated that he knows precisely nothing about national security. #NeverTrump https://t.co/APEKgvcpoI via @motherjones
4149,hillary,"@HillaryClinton meant to say ""I have a lot of experience deleting classified material"" or spitting on FOIA #MAGA https://t.co/nO9kPtzsWU"
4150,hillary,#pressrelease  #National #Leaders #reject #Trump #outreach - Surreal ValeCity https://t.co/5Ka235CEPz
4151,hillary,"Someone, please, make the stupidity stop. My brain cannot handle anymore. #Trump #Conspiracies  https://t.co/2kLCSKBEtN"
4152,hillary,"@realDonaldTrump @FoxNews @seanhannity IF CLINTON WAS ELECTED &amp; MEDICAL &amp; DRUG PROBLEMS MADE IT SO KAINE WAS PRESIDENT, OH SHIT! NO MORE USA"
4153,trump,"@seanhannity @HillaryClinton @realDonaldTrump #Hannity 
Journalist w/agendas don't understand ""Freedom of the Press"" https://t.co/ooRZ6j7HaM"
4154,hillary,Yeah did they honestly think he would suddenly have change of heart &amp; pay them? 😒😜 https://t.co/6xoGdEaaSY
4155,trump,@HillaryClinton just keep saying DT is un american. he's a lunatic &amp; not sure what else will work. Man is truly insane
4156,hillary,"Biased obviously; but the survey has a point - #Hillary has a Hx of concussion, cerebral sinus thrombosis, &amp; DVT. https://t.co/ONLGniV2H9"
4157,trump,@TXluvsnoBSTrump @realDonaldTrump @Reince She is so full of crap it cracks me up. 😀😀😂😂😃😃😃
4158,hillary,#pressrelease #Philadelphia #African #Americans #rejecting #Trump - Surreal ValeCity https://t.co/JxrpLYhBdH
4159,trump,@realDonaldTrump Putin called you colorful not brilliant  - did he mean orange?
4160,trump,"Aumenta expectativa en EE.UU. por debate entre @HillaryClinton y @realDonaldTrump 
 https://t.co/oF6Isfb89p | @imolinarescnn”"
4161,hillary,@rkaimo @VegasOven we assume you are intelligent &amp; can read policy since you mentioned Geneva Convention. #Trump says them at all rallies.
4162,trump,the #world already knows this. #TrumpPence16 https://t.co/wpnUjYeFyP
4163,trump,@realDonaldTrump https://t.co/m4RL8FDVSh
4164,trump,@realDonaldTrump @HillaryClinton https://t.co/DkQBQWw28W
4165,trump,"@realDonaldTrump ,@NBC,@TamronMSNBC After watching a special Facing Sadam an A Monster that Trump complimented for his strength. Dump Trump"
4166,hillary,I wish there was 1/10th of outrage over Bush's use of torture as there is about @HillaryClinton's emails
4167,hillary,#pressrelease #HillaryClinton announces #agressive #new #plan - Surreal ValeCity https://t.co/UOocgHK9Z9
4168,trump,Donald Trump’s Remarks Show He’s Mistaken on Sexual Assault in Military @nytimes #DonaldTrump= what an idiot!  https://t.co/qG6hBsYd5H
4169,hillary,"Just say ""No"" to cocaine https://t.co/guOGyEBif7"
4170,trump,@thehill The sound of desperation...#NeverTrump
4171,hillary,So now @realDonaldTrump claims he would have caught Bin Laden prior to 9/11...
4172,hillary,@realDonaldTrump It was a very good night for Hillary on issues. Nothing from Trump but incoherent verbiage.
4173,trump,@Morning_Joe @ChristianKeyes @MSNBC  The audacity 2 ? @POTUS' Legacy! #Trump is #unbelievablyLimitedInKnowledge #PleaseVote4 @HillaryClinton
4174,hillary,"F😐ck y😐u, Reince Priebus.   https://t.co/jQH97viXma"
4175,hillary,".@realDonaldTrump  ""…temperamentally unfit and totally unqualified…"" is the understatement of the year. #ImWithHer #11thHour"
4176,hillary,@HillaryClinton @LisaTomaino you are so stupid. You never tell the enemy your plans to destroy them.  Drop out of this race and retire.
4177,trump,#pressrelease #Donald #Trump scripts his #outreach - Surreal ValeCity https://t.co/L3TC8gScGW
4178,trump,@Torilex1 @Pratbeas @realDonaldTrump Prove it
4179,trump,"checkThis https://t.co/1nSZqAdzi7  #Trump OPPONENT&amp;THEYdonors,bankerss .must feelThreatened by #TrumpPence16 @realDonaldTrump @lagomorph13"
4180,trump,"@kinni00  Very True! #TaylorSwift @inmatemd @CharlieDaniels @LMM1952 @SEC_SAM 
@trump2016fan @NigelFarge @bfraser747 @PamelaGeller #Trump"
4181,trump,#TumpIsADangerToNationalSecurity #LauerTheBar https://t.co/p8AiTM77Dx
4182,hillary,@seanhannity @HillaryClinton  can earpiece be banned? Main stream Media is bought. Very sad.
4183,trump,Nice try Hitler 2.0 You were the one that showed ur treasonous side 2 America #NeverTrump #ImWithHer #LoveTrumpsHate https://t.co/EoU7kTdhUl
4184,trump,@realDenaldTrump @realDonaldTrump https://t.co/F9murqeOLB
4185,trump,@FoxNews @HillaryClinton Maybe you should ask Trump some questions #Hannity cause he's worse. #PayMeBackTrump
4186,hillary,@realDonaldTrump @FoxNews @seanhannity SOME1 NEEDS 2 MONITOR CROOKED HILLARY SO NO MORE EAR PIECE RECEIVERS R USED!! https://t.co/VC1tvluJvr
4187,trump,"@realDonaldTrump 2002 &amp; 2003 you made pro war comments. In 2004, you changed your tune. You liar. #thanksgoogle https://t.co/P9CYaRMB28"
4188,hillary,"I guess @realDonaldTrump figures, ""Why pay policy advisors when @Heritage Foundation will do it for free?"" https://t.co/fTD38wtkv9"
4189,trump,"Donald Trump @realDonaldTrump is simply a pathological liar.   God has grace for him...but, be clear, a vote for him is a vote for crazy."
4190,trump,What the h*** is @realDonaldTrump doing on Russian TV??? https://t.co/F0iuwylWzR
4191,trump,I hate @FoxNews https://t.co/ATvrcQuagw
4192,trump,@mike_pence WOW does AMERICA LOVE Mike! PENCE &amp; @realDonaldTrump RELATE! I will continue to donate! AMERICA IS AT STAKE!
4193,trump,Exactly.  https://t.co/9maWPwJO0f
4194,hillary,@Patsy1207 @cd5762 @TheDemocrats need to defeat the #KochBrothers once and for all! #Dems need to control #Congress @HlLLARY #ImWithHer
4195,hillary,Who else is waiting for that moment when HRC is asked about Jill Stein? #ImWithHer #HillNotJill #HillYes https://t.co/0HpIOdwfpu
4196,trump,@realDonaldTrump https://t.co/nwAbLX5awx
4197,trump,Putin knows how to recruit clones @realDonaldTrump as POTUS would be Putin's key to our front door. https://t.co/o3X1ktPqYN
4198,trump,@realDonaldTrump HOW MANY HAIR PINS DO YOU NEED?
4199,hillary,"Little that #Trump says or does, these days, surprises me anymore. But talking to RT in this way is definitely the opposite of ""patriotic""."
4200,trump,.@chucktodd RT @Maninthetower78: BOYCOTT CHUCKTODD! Trying to get favor with Republicans #ImWithHer @MSNBC  https://t.co/AZMuwMFfOV
4201,hillary,#pressrelease  In #Erie #TimKaine #calls out #Trump - Surreal ValeCity https://t.co/2yYl1O05gh
4202,hillary,@HFA @HillaryClinton @MSNBC @CNNPolitics @xdelmar59 @Bros4Hillary @coton_luver @tamjomi @missinnanab @DENISEVASQUEZ https://t.co/a5Bv5kMBQ4
4203,trump,For all you #AllyMcBeal fans... Does this remind you of a scene with @PeterMacNicol1? 😂 @portiaderossi @LisaNCarson  https://t.co/zVjrpqiYnf
4204,trump,"It looks like #DonaldTrump needs to change his motto to #MakeRussiaGreatAgain 

#NeverTrump #DonTheCon"
4205,trump,@RichardTBurnett @DebraMMason1 This is Better !!! @maddow @realDonaldTrump @ABC @CBS @nbc https://t.co/opoQL6k7Nl
4206,hillary,"I was raised in an evangelical church, so why does my skin crawl when #Hillary speaks to a Baptist congregation? #Hypocrite radar maybe?"
4207,trump,@realDonaldTrump @EricTrump @IvankaTrump @DonaldJTrumpJr Seriously PLS RT this til DT C's it! I believe she did it last nite &amp; will @ debate
4208,hillary,Amen. Let's move on to the stuff that actually matters. #ImWithHer  https://t.co/JyR5GivoGd
4209,trump,@seanhannity @HillaryClinton yes
4210,hillary,"If @realDonaldTrump manages to win the election, he will become the worst president this country hasn't ever had to endure. DISASTER!"
4211,hillary,"He looks better than angry, tired Hillary. https://t.co/KxSfdrtPZR"
4212,trump,America has never been all white! https://t.co/1CprVFEzDN
4213,trump,@HillaryClinton https://t.co/eDDmfJcSKb
4214,trump,"@realDonaldTrump 81000 responded.  That's not a consensus.  And, again, it's rigged."
4215,trump,@seanhannity @SebGorka @BarackObama @HillaryClinton yes
4216,hillary,#pressrelease #TimKaine to #call out #Trump - Surreal ValeCity https://t.co/2ZLlmrU8oN
4217,hillary,You hve to be a complete idiot to believe anything that comes out of her mouth. https://t.co/xzdP6Og2Nt
4218,trump,"Every day for the next two months, I'm going to work morning and night to make sure you don't win https://t.co/3uPO9Xm66g"
4219,trump,"@JrcheneyJohn @MONAKatOILS as much as #Hillary would like to forget, and put that behind her. We must not allow it. #Trump 🇺🇸"
4220,trump,@GOPeSucks @ChatterjeeTanni Thank you! Proud to have served! Hoping for really change to Make America Great Again!! @realDonaldTrump
4221,hillary,@seanhannity @HillaryClinton CNN used to be beacon of democracy. It epitomizes highest level is professionalism &amp;freedom of speech (1/3)
4222,hillary,"@HillaryClinton @Only4Profit
That's right... Pretend reality isn't real... Like Buying $400,00 dollars shoes THEY REALLY CAN'T AFFORD.
Yep.."
4223,hillary,REALLY @Trevornoah ??? NOW you see the heaping pile of shit #HillaryClinton is?? OMG I defended you!
4224,trump,"You're a fucking coward, you white supremacist, homophobic asshole. How's about you go fuck yourself? https://t.co/TQx9RbJ0VE"
4225,trump,@Gotrocks11 @karlak916 @mitchellvii @amrightnow @LGBTFORTRUMP @Always_Trump @magnifier661 @VetsForDonald Must See ** https://t.co/4f3B3eKuSv
4226,hillary,@FoxNews @HillaryClinton is a damn liar.
4227,trump,@TrumpStudents @KNP2BP @realDonaldTrump @TeamTrump @mike_pence wow go free thinkers.Great minds of future#
4228,trump,@KristiIA @realDonaldTrump @washingtonpost Melania's Tourist Visa Work Marriage legal immigration plight speech Live on Russian TV..oops
4229,trump,"@AMilleur @realDonaldTrump Trump should be glad PBO is not like Putin, because if he was, there would be no Trump!"
4230,trump,@realDonaldTrump https://t.co/umtYxVLZqr
4231,trump,@HillaryClinton I am just watching @TheLastWord saying you should send surrogate wave now to set up next debate to bury Trump.
4232,hillary,Any POTUS should be someone we can be proud of as the tactic of overwhelming the US govt with Islam continues evilly https://t.co/PAxEItGyPZ
4233,hillary,@seanhannity @HillaryClinton @realDonaldTrump @SebGorka Isis pray for crooked Hillary for president. Hillary sold guns to Isis!
4234,trump,@HillaryClinton Trump has it handled.
4235,trump,@realDonaldTrump @realkingrobbo @JaredWyand @DanScavino @immigrant4trump @DiamondandSilk @LindaSuhler https://t.co/upAQpVsAoU
4236,trump,@TrumpStudents @KNP2BP @realDonaldTrump @TeamTrump @mike_pence i smell calculus. Great job being an stand up thinkers.
4237,hillary,"How is it that @HillaryClinton knows the content of prayers prayed by isslammic jihadist terrorists?
What the fuck is wrong with you, lady?"
4238,hillary,Delete Freedom of Speech -  Hillary &amp; Obama giving internet to UN - It is part of their plan https://t.co/4f3B3eKuSv
4239,trump,"Apparently, #Trump would have caught Bin Laden BEFORE 9/11. What else?  #TrumpWouldHave"
4240,hillary,@realDonaldTrump the timeline for your denial of Iraq war (on CNN) shows you were not for the war 1.5 years after u said u were for war;liar
4241,hillary,"@realDonaldTrump @FoxNews CROOKED HILLARY CLINTON SUPPORTERS, MORE DAMNING HABITUAL LYING! ENOUGH IS ENOUGH!  👻😩👎💩💩💩 https://t.co/5DhuJccLvS"
4242,hillary,Many people. Many people.  https://t.co/vKL1n5blfq
4243,hillary,#pressrelease #HillaryClinton #outlines #dangers of #Trump - Surreal ValeCity https://t.co/zmRB5jlOdW
4244,trump,@realDonaldTrump HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA. .You are such an imbecile!!!!!!!
4245,hillary,"Can't stand her! How dare she call nurses glorified baby sitters! 😡😡 @CourtneySands #ImNOTwithHer #MAGA 

https://t.co/XscXqJNbQ0"
4246,hillary,"""If he can't Respect ALL Americans, how can he Serve ALL Americans"" @HillaryClinton"
4247,trump,@ColMorrisDavis @puppymnkey @realDonaldTrump @iava lmao
4248,trump,@TrumpStudents @KNP2BP @realDonaldTrump @TeamTrump @mike_pence mind of real scholars matter. Always4ever
4249,hillary,"Do u recall @HillaryClinton apologizing for @TheDemocrats @DWStweets rigging the primaries?

Didn't she re-hire her? https://t.co/GE7ugAkzk5"
4250,hillary,LIBTARD @CNN SAYS VLADMIR PUTIN INFLUENCING AMERICANS to vote #DONALDTRUMP LOL! I tell you they shud RENAME #CNN the COMEDY NEWS NETWORK!
4251,trump,@HillaryClinton  https://t.co/jJ3CtffOsb
4252,trump,Interesting @30secio  https://t.co/iGaJVLgcgX
4253,trump,"@FoxNews @TheFive @greggutfeld #Juan u said Putin can't  be praised by #Trump,but #Obama #Hillary can Praise the Saudis who like 😡 #SHARIA"
4254,hillary,I'm the earpiece in Clinton's ear that only conspiracy theorists can see. #NeverTrump #ImWithHer
4255,trump,"@NightStar44 @Non_MSM_News establishment candidate ""this is not a movement"" soros $$$ despises #trump"
4256,trump,@realDonaldTrump @RogerJStoneJr @realkingrobbo @HillaryClinton @OnMessageForHer @EricSuper5 @SheriffClarke @CNN  https://t.co/VZVogH7jhq
4257,trump,@realDonaldTrump it's a real shame at first I thought you were something special. However you never stick to what you say. You get A No Vote
4258,hillary,#pressrelease #Hillary for #PA #launches #Trump #Roadshow - Surreal ValeCity https://t.co/IXlbakr6kB
4259,trump,@realDonaldTrump Americas lost heart hasn't it sir? https://t.co/pl3kizC61w
4260,trump,"@realDenaldTrump #Denald you are great at nailing #Trump but why do you give #Hillary a pass?
#NeverTrumpOrHillary"
4261,hillary,😂😂😂 so much sexism in this tweet I can't even. 😂😂😂 https://t.co/yZutPckTQ1
4262,hillary,@RiskyLiberal @seanhannity Hey! Let's ask his..... doctor!! Is .@realDonaldTrump hearing impaired? Dr Bornstein?  Hello?
4263,hillary,@patsylake @HillaryClinton @realDonaldTrump @SteveRattner  I'M WITH HILLARY and PATSY LAKE is my hommie! WE are going to win this w/HILLARY!
4264,hillary,"@HillaryClinton has to stop making this about her v trump, the campaign has to be about giving the power back to the people."
4265,hillary,"Yep, he didn't want to end up dead.... #indicthillary #CrookedHillary  https://t.co/jsw6nkyQrV"
4266,trump,@POTUS🎭GOD🇺🇸LOVES👉🏿@realDonaldTrump https://t.co/qB85zog5yR @washingtonpost @JeffBezos @amazon @nypost @WSJ @CNN @nytimes @latimes @FoxNews
4267,hillary,"I'm glad @calfussman denounces @realDonaldTrump's lies about #Iraq war, though his appearance on @donlemon w/ a fedora is unnecessary"
4268,trump,What about it @HillaryClinton!  #NationalSecurity is important. https://t.co/5RBzOHCFLl
4269,trump,Democratic Party is the new Communist party. #NeverHillary #TrumpTrain #AmericaFirst
4270,hillary,Honestly I'm a little bit drunk but I'd really like to be friends with @HillaryClinton
4271,hillary,#pressrelease #Hillary #Clinton #outlines #dangers of #Trump - Surreal ValeCity https://t.co/zmRB5jlOdW
4272,hillary,@av8orchk @JerseyJ0E @doctormalibu @NRO @KevinNR We will ALL NEED a #SafeSpace if @HillaryClinton is the next #POTUS #GodHelpUs
4273,trump,@realDonaldTrump  the RNC needs to make thoselosers that signed thepledge back youcause it will help you get morevotescause Peopleliked Bush
4274,trump,@NeilTurner_ @realDonaldTrump https://t.co/23XHK0xd0M
4275,hillary,"@esquire @calfussman ""I didn't know it was gonna take 12 years to do it."" #Trump handles the war? With #advisors it sounds like. #startling"
4276,hillary,Who cares? Hillary can't be trusted w/ anything. Her foreign policy caused unrest in Libya/Benghazi 4 ppl died! https://t.co/AgSo6Mfgb6
4277,trump,he didn't want to end up dead!  #CrookedHillary #indicthillary https://t.co/jsw6nkyQrV
4278,hillary,"@HillaryClinton Hey Hill I picture him in charge of my son/daughter begging him for help. Thing is, he sends help...u didnt. No thankss"
4279,hillary,@HillaryClinton for #women  https://t.co/obAIrrz1d1
4280,trump,#ImWithHer https://t.co/U3js81X7GF
4281,trump,When @jskurtz07 asks why you weren't helping out with this segment  https://t.co/0InxNvvHvX
4282,trump,@CPD TAX RETURNS. And why is his face ORANGE? Enquiring minds want to know! https://t.co/4ZsLtAvlD5
4283,trump,@jefflcohen @marklevinshow @Lrihendry @realDonaldTrump Obamacare?
4284,hillary,In trump we trust! https://t.co/ai2KATP61j
4285,trump,@harry_x1 ha ha ha the guy is really funny https://t.co/IRFMyZdy7O
4286,trump,The logic escapes me! What am I missing besides a narcissistic lunatic? https://t.co/QP0vW4tujf
4287,hillary,@seanhannity @HillaryClinton it attracted so many admiring&amp;inquisitive minds from China eg trying to have access to it through various ways
4288,trump,"@realDonaldTrump  New photo of Trump's talking bobble heads defending his un-american, disgusting words and tweets. https://t.co/OdarfmY6Tc"
4289,hillary,@taytwelve @Can2KickIt @HillaryClinton And that's like the least offensive/destructive thing she's done.
4290,trump,Jatras on @NewswithEd contrasts smart presidential #Trump with #Hillary not so much of either. https://t.co/aEOUW1vpji
4291,trump,@MarkHalperin why do you hate @HillaryClinton? Spend most of your tv time bashing her. Counting down for how long it will bf you say emails.
4292,trump,@BillOReilyTV @oreillyfactor is being playing the PC card today harping on @realDonaldTrump Putin comments- really O'Reilly?
4293,trump,"@stuartpstevens @KenGude @realDenaldTrump oops, wrong Donald. Meant @realDonaldTrump"
4294,hillary,@HillaryClinton I'm with you &amp; your #mentalhealth plan #StigmaFree
4295,hillary,@HillaryClinton @whpresscorps  No #USTroops in #Syria or #Iraq but youll put them in #Ukraine and #Europe https://t.co/6MjDwIjH9L
4296,trump,@esquire @calfussman @CNN @HowardStern is Jewish and #Trump/EVERYONE knows that.
4297,trump,"@realDonaldTrump can I borrow a $1,000,000? I prolly won't pay you back but that's cool right?"
